Episode,Reward
1,tensor(1649.3435)
2,tensor(1598.6104)
3,tensor(1596.1625)
4,tensor(1594.6331)
5,tensor(7750.6904)
6,tensor(12083.1533)
7,tensor(15469.7764)
8,tensor(9847.5820)
9,tensor(15334.1689)
10,tensor(11869.1387)
11,tensor(16062.4678)
12,tensor(13876.3730)
13,tensor(14622.7451)
14,tensor(23365.4316)
15,tensor(9494.7090)
16,tensor(13143.7529)
17,tensor(16794.7832)
18,tensor(15339.2871)
19,tensor(21906.0996)
20,tensor(19697.2363)
21,tensor(18984.3887)
22,tensor(23367.3711)
23,tensor(24826.1699)
24,tensor(33588.0391)
25,tensor(42351.6133)
26,tensor(32856.7266)
27,tensor(43127.1367)
28,tensor(41621.5195)
29,tensor(84700.0938)
30,tensor(106605.0781)
31,tensor(126323.7344)
32,tensor(135083.9375)
33,tensor(118013.3203)
34,tensor(129973.2188)
35,tensor(134363.9375)
36,tensor(169399.3438)
37,tensor(173052.2031)
38,tensor(182540.2500)
39,tensor(180354.4688)
40,tensor(190549.9688)
41,tensor(186195.2656)
42,tensor(186197.1406)
43,tensor(192766.)
44,tensor(186929.0781)
45,tensor(189070.3125)
46,tensor(196478.2500)
47,tensor(181813.7656)
48,tensor(190576.2969)
49,tensor(187656.0938)
50,tensor(175969.1406)
51,tensor(189126.9531)
52,tensor(184000.3594)
53,tensor(194223.0312)
54,tensor(206635.3906)
55,tensor(190571.6094)
56,tensor(192032.1562)
57,tensor(195682.7969)
58,tensor(194953.1094)
59,tensor(205905.9531)
60,tensor(207357.5000)
61,tensor(211760.2031)
62,tensor(216138.3438)
63,tensor(219788.1875)
64,tensor(226355.7812)
65,tensor(215429.5938)
66,tensor(213217.9531)
67,tensor(213947.7031)
68,tensor(221250.2969)
69,tensor(224685.0625)
70,tensor(230742.1719)
71,tensor(222712.0312)
72,tensor(231441.9531)
73,tensor(238809.4844)
74,tensor(231472.6719)
75,tensor(248998.7031)
76,tensor(233852.4688)
77,tensor(243157.1719)
78,tensor(241697.1719)
79,tensor(227821.6250)
80,tensor(246071.9062)
81,tensor(241586.)
82,tensor(226936.2188)
83,tensor(245344.8125)
84,tensor(243152.)
85,tensor(245996.8594)
86,tensor(247529.6562)
87,tensor(242420.5000)
88,tensor(243150.0625)
89,tensor(245341.8438)
90,tensor(247531.9062)
91,tensor(237307.4062)
92,tensor(238772.9844)
93,tensor(245338.2188)
94,tensor(242426.7031)
95,tensor(242195.8594)
96,tensor(249729.3125)
97,tensor(257028.9531)
98,tensor(250454.9375)
99,tensor(246803.3594)
100,tensor(251180.8281)
101,tensor(246076.5625)
102,tensor(258483.6094)
103,tensor(256536.1406)
104,tensor(257758.1250)
105,tensor(255425.3594)
106,tensor(257064.7344)
107,tensor(259382.9219)
108,tensor(260677.6406)
109,tensor(262134.4688)
110,tensor(259950.3125)
111,tensor(259218.1719)
112,tensor(256300.2344)
113,tensor(254833.9219)
114,tensor(251907.9375)
115,tensor(251188.1562)
116,tensor(255576.2344)
117,tensor(256297.0781)
118,tensor(251227.2969)
119,tensor(251186.5156)
120,tensor(254091.2969)
121,tensor(258548.2188)
122,tensor(254112.6719)
123,tensor(255567.9844)
124,tensor(257759.4688)
125,tensor(251186.7656)
126,tensor(251918.3750)
127,tensor(252663.8594)
128,tensor(254105.7031)
129,tensor(249715.2969)
130,tensor(251918.1562)
131,tensor(257028.8594)
132,tensor(257413.3438)
133,tensor(248265.8594)
134,tensor(251190.1875)
135,tensor(259948.4062)
136,tensor(247535.5781)
137,tensor(247535.4844)
138,tensor(249723.7500)
139,tensor(252640.3438)
140,tensor(239494.1875)
141,tensor(235111.9844)
142,tensor(238028.7656)
143,tensor(240220.2500)
144,tensor(239488.0938)
145,tensor(247522.2969)
146,tensor(238777.8281)
147,tensor(250444.0938)
148,tensor(248254.5781)
149,tensor(245334.5625)
150,tensor(248257.2656)
151,tensor(238874.1094)
152,tensor(213014.1094)
153,tensor(215486.1094)
154,tensor(209370.0625)
155,tensor(223477.8594)
156,tensor(218236.0625)
157,tensor(235148.1875)
158,tensor(228540.8906)
159,tensor(233683.6250)
160,tensor(233656.1094)
161,tensor(236803.6250)
162,tensor(239496.1875)
163,tensor(245335.6094)
164,tensor(246785.0469)
165,tensor(249708.8750)
166,tensor(246064.7031)
167,tensor(250447.5781)
168,tensor(256907.0312)
169,tensor(259196.3750)
170,tensor(247478.9688)
171,tensor(240229.6406)
172,tensor(270164.7188)
173,tensor(262844.7812)
174,tensor(252640.4219)
175,tensor(270004.4375)
176,tensor(271615.2500)
177,tensor(260680.1250)
178,tensor(268707.2188)
179,tensor(265868.1875)
180,tensor(262134.7188)
181,tensor(258489.3281)
182,tensor(260650.9219)
183,tensor(266476.5000)
184,tensor(235839.3281)
185,tensor(224885.0781)
186,tensor(233552.3906)
187,tensor(223423.5781)
188,tensor(230970.7500)
189,tensor(215419.8906)
190,tensor(223384.2969)
191,tensor(227879.2812)
192,tensor(221274.1875)
193,tensor(229154.1250)
194,tensor(219049.3750)
195,tensor(193670.3281)
196,tensor(183295.2344)
197,tensor(190703.7344)
198,tensor(183925.8125)
199,tensor(175977.2188)
200,tensor(194233.5312)
